"","Feature","pval","pval.adj","log2FC","ordering","Method","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"21","ASV_0025",0.00659485357143491,0.0470822813632101,1.28039398583281,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Genus_Barnesiella"
"35","ASV_0050",0.000715907795022749,0.0449077749564702,1.6937044618446,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","Genus_Oscillibacter"
"37","ASV_0052",0.00661799649289452,0.0470822813632101,1.90637222227405,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum","Genus_Paramuribaculum"
"44","ASV_0073",0.00251232307448785,0.0449077749564702,1.24640280959436,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"52","ASV_0096",0.00358018793034701,0.0470822813632101,1.4089315930244,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes","Phylum_Firmicutes"
"56","ASV_0108",0.00447562963549854,0.0470822813632101,1.69912642732276,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum","Genus_Stomatobaculum"
"86","ASV_0180",0.00231845602900833,0.0449077749564702,1.56304294509118,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum","Genus_Anaerotignum"
"90","ASV_0191",0.00174542134316431,0.0449077749564702,1.50543649059106,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Family_Erysipelotrichaceae","Family_Erysipelotrichaceae"
"94","ASV_0211",0.00151928589572397,0.0449077749564702,0.980198234477315,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","Genus_Erysipelatoclostridium"
"111","ASV_0293",0.00238805663945324,0.0449077749564702,1.36528790263481,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","Genus_Butyricicoccus"
"116","ASV_0329",0.0041786054850272,0.0470822813632101,1.22721543314583,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Family_Christensenellaceae","Family_Christensenellaceae"
"122","ASV_0355",0.0047376323366993,0.0470822813632101,0.934556580424227,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Genus_Staphylococcus"
"126","ASV_0369",0.00401338675821325,0.0470822813632101,0.985117935332103,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum","Genus_Anaerofilum"
"127","ASV_0371",0.00654771889860046,0.0470822813632101,0.853745774592196,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","morganii"
"129","ASV_0375",0.000112873171096737,0.0161408634668334,1.69538528517416,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia","Genus_Breznakia"
"131","ASV_0391",0.00691418117921267,0.0470822813632101,0.863023988239355,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis","stercorihominis"
"133","ASV_0438",0.00609511076022753,0.0470822813632101,1.1374697945264,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","Genus_Flavonifractor"
"134","ASV_0465",0.00515316757456006,0.0470822813632101,1.07457426864094,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Harryflintia","Genus_Harryflintia"
"137","ASV_0511",0.00429708474886756,0.0470822813632101,0.888999625670241,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Clostridia","Clostridiales","Catabacteriaceae","Catabacter","hongkongensis"
"138","ASV_0528",0.00616228763206167,0.0470822813632101,1.0930202354011,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Genus_Amedibacillus"
"139","ASV_0558",0.00242832383206,0.0449077749564702,1.09133234116276,"PFOS>CTRL","t-test - ALR (tta)","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Genus_Adlercreutzia"
