"","feed","day","treatment","feed_treat","Firmicutes","Bacteroidetes","Proteobacteria","Actinobacteria","Others_FB","Others_all","FB_ratio"
"1","HF","d0","CTRL","HF_CTRL",34.623,63.411,0,1.382,1.96600000000001,0.584000000000003,0.546000613061786
"2","HF","d0","PFOS","HF_PFOS",29.066,68.839,0,1.605,2.095,0.489999999999995,0.422225846884283
"3","HF","d0","both","HF_both",31.844,66.125,0,1.494,2.03100000000001,0.537000000000006,0.48157301042907
"4","HF","d08","CTRL","HF_CTRL",39.042,56.049,1.133,3.74,4.90899999999999,0.0360000000000014,0.696568619242669
"5","HF","d08","PFOS","HF_PFOS",46.756,47.354,1.692,4.142,5.89,0.0560000000000116,0.987386585230088
"6","HF","d08","both","HF_both",42.899,51.701,1.413,3.941,5.40000000000001,0.0460000000000065,0.829750242929287
"7","HF","d12","CTRL","HF_CTRL",62.605,35.082,0,1.487,2.313,0.826000000000008,1.78452257161305
"8","HF","d12","PFOS","HF_PFOS",49.199,48.329,0,1.61,2.47200000000001,0.862000000000009,1.01800389233706
"9","HF","d12","both","HF_both",55.902,41.706,0,1.549,2.392,0.842999999999989,1.34039597483187
"10","HF","d16","CTRL","HF_CTRL",49.212,47.215,0,2.974,3.57299999999999,0.59899999999999,1.04229180009825
"11","HF","d16","PFOS","HF_PFOS",48.297,47.492,0,3.221,4.21100000000001,0.990000000000009,1.01696042245366
"12","HF","d16","both","HF_both",48.755,47.353,0,3.097,3.892,0.795000000000002,1.02958907583691
"13","HF","d21","CTRL","HF_CTRL",55.406,40.369,1.283,2.911,4.22499999999999,0.0309999999999917,1.37249145209676
"14","HF","d21","PFOS","HF_PFOS",44.274,50.453,1.465,3.759,5.273,0.0489999999999924,0.877525257938949
"15","HF","d21","both","HF_both",49.84,45.411,1.374,3.335,4.749,0.0400000000000063,1.09752797838838
"16","HF","all","CTRL","HF_CTRL",44.936,51.655,0,2.516,3.40899999999999,0.892999999999986,0.869921785875507
"17","HF","all","PFOS","HF_PFOS",41.916,54.094,1.082,2.869,3.99000000000001,0.0390000000000157,0.77487621927166
"18","HF","all","both","HF_both",43.426,52.875,0,2.693,3.699,1.006,0.82130278806759
"19","LF","d0","CTRL","LF_CTRL",66.312,27.695,3.131,2.609,5.99299999999999,0.253,2.39441537696286
"20","LF","d0","PFOS","LF_PFOS",65.426,30.003,2.563,1.761,4.571,0.247,2.18065500549304
"21","LF","d0","both","LF_both",65.869,28.849,2.847,2.185,5.282,0.25,2.28325919088373
"22","LF","d08","CTRL","LF_CTRL",68.384,25.915,4.461,1.123,5.70099999999999,0.11699999999999,2.6388203580457
"23","LF","d08","PFOS","LF_PFOS",60.651,31.041,7.338,0,8.30799999999999,0.969999999999999,1.95391053739573
"24","LF","d08","both","LF_both",64.517,28.478,5.899,0,7.005,1.10599999999999,2.2655440718443
"25","LF","d12","CTRL","LF_CTRL",74.224,20.317,4.523,0,5.459,0.936000000000007,3.65336835177465
"26","LF","d12","PFOS","LF_PFOS",61.632,31.995,4.837,1.42,6.373,0.116,1.92631248130267
"27","LF","d12","both","LF_both",67.928,26.156,4.68,1.116,5.916,0.11999999999999,2.59705919272468
"28","LF","d16","CTRL","LF_CTRL",80.968,14.592,2.83,1.482,4.44,0.128,5.54875571397287
"29","LF","d16","PFOS","LF_PFOS",71.554,22.853,4.071,1.283,5.59299999999999,0.23899999999999,3.13105735953753
"30","LF","d16","both","LF_both",76.261,18.722,3.451,1.382,5.017,0.183999999999997,4.07321760169564
"31","LF","d21","CTRL","LF_CTRL",76.39,18.293,3.054,2.186,5.31700000000001,0.0769999999999982,4.1759527411648
"32","LF","d21","PFOS","LF_PFOS",64.772,27.063,5.239,2.72,8.16499999999999,0.205999999999989,2.39336123682953
"33","LF","d21","both","LF_both",70.581,22.678,4.147,2.453,6.741,0.140999999999991,3.11231109186126
"34","LF","all","CTRL","LF_CTRL",71.568,22.917,3.656,1.706,5.515,0.152999999999992,3.12289480421738
"35","LF","all","PFOS","LF_PFOS",64.302,29.143,4.85,1.489,6.55499999999999,0.215999999999994,2.2064474808706
"36","LF","all","both","LF_both",67.935,26.03,4.253,1.597,6.035,0.185000000000002,2.60987514030926
